coords,nb_x,nb_y,nb_likelihood,nt_x,nt_y,nt_likelihood,ad_x,ad_y,ad_likelihood
63,152.5770721,215.5423279,1,153.8264923,251.2229004,1,196.1658173,340.9274902,1
64,152.4008942,215.5423279,1,153.8264923,251.2229004,1,196.199646,340.9274902,1
65,152.08255,215.5674438,1,153.6140594,251.2229004,1,196.311615,340.962677,1
66,152.0413055,216.3035126,1,152.7914124,251.8965912,1,196.4887238,340.962677,1
67,150.3350677,217.0461273,1,151.2870789,252.7864532,1,196.560791,340.962677,1
68,148.7617188,217.7073059,1,149.6813507,254.1032257,1,196.560791,340.962677,1
69,148.1305084,218.3414459,1,148.4771881,254.586792,1,196.4887238,340.9906006,1
70,147.7835388,218.4474182,1,148.4771881,254.586792,1,196.4887238,341.3605652,1
71,147.77948,218.458252,1,148.4771881,254.6555939,1,196.5226898,341.3605652,1
72,147.7055054,218.756485,1,148.8806763,254.6992188,1,196.4913635,341.3913879,1
73,147.5216827,219.3456421,1,148.8806763,255.1001434,1,196.4913635,341.4869995,1
74,147.3371429,219.6955261,1,148.8806763,255.9740448,1,196.4913635,341.565979,1
75,146.7369537,221.0112305,1,148.0731659,257.1791687,1,196.4192047,341.5732422,1
76,146.0706635,222.1530151,1,147.1581726,258.469635,1,196.3919678,341.5732422,1
77,144.5016479,222.8331909,1,145.9531555,258.9295044,1,196.2503662,341.5732422,1
78,143.4978943,223.2362976,1,144.7952881,259.8795776,1,196.1752625,341.5507507,1
79,142.5400696,223.2971497,1,143.9915619,260.2774353,1,196.1072845,341.4068298,1
80,142.1743622,223.3889618,1,143.7737427,260.2860718,1,195.9973907,341.387085,1
81,142.1415253,223.3889618,1,143.7671967,260.2867126,1,195.9884338,341.387085,1
82,142.0789642,223.353363,1,143.7264404,260.6411133,1,195.9511108,341.387085,1
83,141.9294586,223.353363,1,143.691452,260.6691589,1,195.9511108,341.4068298,1
84,141.9294586,223.1983337,1,143.6311646,260.6691589,1,195.9491119,341.4877319,1
85,141.885025,223.1983337,1,143.5916443,260.6691589,1,195.9511108,341.4878845,1
86,141.885025,223.1352081,1,143.4638977,260.6387634,1,195.9491119,341.6165161,1
87,141.9294586,223.0735931,1,143.5916443,260.5620728,1,195.9313202,341.8135681,1
88,141.971405,223.0458069,1,143.6311646,260.4691772,1,195.903717,341.9035645,1
89,142.6486969,222.9481049,1,143.9506989,260.1463318,1,195.903717,341.9146729,1
90,143.3862,222.7355347,1,144.5361176,259.9782715,1,195.8166504,342.2980347,1
91,143.6214142,222.2206726,1,145.1093597,259.4045715,1,195.8117523,342.6800537,1
92,144.3088074,221.904541,1,145.343338,258.8509216,1,195.7617493,342.8696899,1
93,144.9065704,221.2516632,1,145.9228363,258.4492493,1,195.7529907,342.9064941,1
94,145.5272217,220.6914825,1,146.3963623,257.4874268,1,195.7529907,343.0548401,1
95,146.1277466,219.6602783,1,146.9636993,257.1200562,1,195.7661896,343.1112671,1
96,146.3056793,218.9219513,1,147.5095825,256.3172302,1,195.7661896,343.3784485,1
97,146.8622742,218.5799561,1,148.2942657,255.4296112,1,195.8453369,343.7336731,1
98,147.6039581,217.6213989,1,149.1019897,254.5968628,1,195.8465729,344.1117249,1
99,148.2228394,216.6453705,1,150.2146301,253.7640533,1,195.9227905,344.4689636,1
100,149.6824493,216.0628662,1,151.571991,252.8031006,1,195.9227905,344.9826355,1
